"student","school","time","female","ses","public","suspension","platform","math"
1,81,0,0,6,1,0.112,0,34.7
1,81,1,0,5,1,0.33,0,38.2
1,81,2,0,6,1,0.39,0,39.5
1,81,3,0,4,1,0.328,0,56.7
65,258,0,0,6,0,0.003,1,46.3
65,258,1,0,6,0,0.035,1,54.3
65,258,2,0,4,0,0.06,1,46.2
65,258,3,0,5,0,0.071,1,57.5
123,212,0,0,6,0,0.003,1,51.9
123,274,1,0,5,1,0.012,1,45.1
123,274,2,0,5,1,0.025,1,56.7
123,274,3,0,5,1,0.02,1,57.5
146,515,0,0,5,0,0.036,1,30.2
146,515,1,0,3,0,0.067,1,33
146,515,2,0,5,0,0.1,1,46.2
146,515,3,0,4,0,0.05,1,59.8
147,194,0,0,3,1,0.004,0,62.3
147,194,1,0,5,1,0.035,0,53.5
147,194,2,0,5,1,0.06,0,61.8
147,194,3,0,6,1,0.074,0,78.3
195,21,0,1,4,0,0.017,1,31.1
195,21,1,1,3,0,0.253,1,41.8
195,21,2,1,6,0,0.264,1,52.3
195,21,3,1,5,0,0.285,1,53.1
209,194,0,1,4,1,0.004,0,39.4
209,282,1,1,4,1,0.035,0,38.2
209,282,2,1,5,1,0.06,0,43.9
209,282,3,1,4,1,0.071,0,53.4
218,1033,0,1,5,1,0.006,1,39.4
218,1033,1,1,4,1,0.086,1,54.3
218,1033,2,1,3,1,0.067,1,48.7
218,1033,3,1,6,1,0.07,1,57.5
220,714,0,1,4,1,0.028,1,41.4
220,720,1,1,3,1,0.112,1,46.6
220,720,2,1,4,1,0.119,1,46.7
220,720,3,1,4,1,0.159,1,55.9
351,245,0,0,4,1,0.009,1,37.1
351,245,1,0,5,1,0.016,1,30.2
351,245,2,0,5,1,0.019,1,38.2
351,245,3,0,3,1,0.047,1,50.6
376,121,0,0,4,1,0.024,0,39.4
376,121,1,0,4,1,0.083,0,46.6
376,121,2,0,3,1,0.116,0,45.1
376,121,3,0,6,1,0.075,0,57.5
377,139,0,0,6,1,0.021,0,84.7
377,139,1,0,5,1,0.043,0,79.1
377,139,2,0,6,1,0.064,0,89.9
377,139,3,0,6,1,0.053,0,97.1
390,1035,0,0,5,1,0.033,0,54.7
390,1035,1,0,2,1,0.095,0,73.5
390,1035,2,0,6,1,0.088,0,66.7
390,1035,3,0,6,1,0.11,0,72.3
401,1038,0,0,5,0,0.016,1,62.3
401,1038,1,0,6,0,0.076,1,65.5
401,1038,2,0,5,0,0.073,1,64.6
401,1038,3,0,6,0,0.107,1,65.9
446,286,0,1,6,1,0.014,0,47.5
446,286,1,1,5,1,0.099,0,56.3
446,286,2,1,4,1,0.071,0,57.6
446,286,3,1,2,1,0.1,0,67
464,147,0,1,6,1,0.002,1,84.7
464,147,1,1,5,1,0.022,1,83
464,147,2,1,6,1,0.016,1,86.8
464,147,3,1,6,1,0.015,1,92
465,515,0,1,3,0,0.036,1,45
465,519,1,1,3,1,0.168,0,57.1
465,519,2,1,4,1,0.189,0,51.8
465,519,3,1,6,1,0.113,0,64.7
481,1035,0,0,4,1,0.033,0,45
481,1035,1,0,5,1,0.095,0,50.7
481,1035,2,0,7,1,0.088,0,61.8
481,1035,3,0,4,1,0.11,0,68.3
487,714,0,1,5,1,0.028,1,48.6
487,714,1,1,3,1,0.112,1,46.6
487,714,2,1,3,1,0.119,1,54.6
487,714,3,1,2,1,0.159,1,62.8
498,194,0,1,4,1,0.004,0,36.6
498,194,1,1,4,1,0.035,0,38.2
498,194,2,1,3,1,0.06,0,41.1
498,194,3,1,2,1,0.071,0,57.5
505,714,0,1,6,1,0.028,1,74.7
505,714,1,1,4,1,0.112,1,56.3
505,714,2,1,7,1,0.119,1,74.6
505,714,3,1,6,1,0.159,1,83.1
507,121,0,1,6,1,0.024,0,46.3
507,121,1,1,6,1,0.083,0,48.2
507,121,2,1,4,1,0.116,0,53.4
507,121,3,1,7,1,0.075,0,59.1
525,647,0,0,6,1,0.055,1,32.2
525,647,1,0,4,1,0.15,1,38.7
525,647,2,0,6,1,0.135,1,41.8
525,647,3,0,5,1,0.185,1,51.4
550,1104,0,1,7,0,0.014,0,39.4
550,1111,1,1,5,1,0.242,0,49.1
550,1111,2,1,5,1,0.198,0,45.4
550,1111,3,1,5,1,0.213,0,59.1
556,21,0,0,7,0,0.017,1,33.9
556,21,1,0,4,0,0.253,1,41.8
556,21,2,0,4,0,0.264,1,42.3
556,21,3,0,5,0,0.285,1,49.8
572,1038,0,0,3,0,0.016,1,62.3
572,1048,1,0,3,1,0.076,1,62.7
572,1048,2,0,4,1,0.073,1,75.1
572,1048,3,0,5,1,0.107,1,74.2
583,963,0,0,3,0,0.155,0,41.4
583,963,1,0,2,0,0.124,0,41
583,963,2,0,3,0,0.175,0,46.7
583,963,3,0,4,0,0.218,0,54.2
587,43,0,0,4,0,0.018,0,32.2
587,43,1,0,6,0,0.163,0,35.1
587,43,2,0,5,0,0.205,0,38.7
587,43,3,0,4,0,0.151,0,53.1
641,387,0,0,8,0,0.087,1,49.9
641,387,1,0,4,0,0.109,1,53.5
641,387,2,0,6,0,0.305,1,62.6
641,387,3,0,4,0,0.317,1,69.8
642,139,0,0,6,1,0.021,0,48.6
642,139,1,0,2,1,0.043,0,57.1
642,139,2,0,5,1,0.064,0,69
642,139,3,0,5,1,0.053,0,79.5
667,276,0,1,6,0,0.003,1,53.6
667,274,1,1,4,1,0.012,1,51.5
667,274,2,1,6,1,0.025,1,62.6
667,274,3,1,5,1,0.02,1,76.4
668,677,0,0,5,1,0.002,0,45.8
668,677,1,0,6,1,0.005,0,54.3
668,677,2,0,5,1,0.01,0,75.1
668,677,3,0,6,1,0.012,0,71.1
680,99,0,1,6,0,0.003,1,67.8
680,99,1,1,6,0,0.108,1,60.7
680,99,2,1,4,0,0.073,1,71.2
680,99,3,1,4,0,0.056,1,80.6
717,1110,0,1,3,1,0.034,0,44.2
717,1110,1,1,5,1,0.242,0,45.9
717,1110,2,1,7,1,0.198,0,53.9
717,1110,3,1,4,1,0.213,0,67.8
729,1045,0,1,7,1,0.012,0,40.7
729,1045,1,1,6,1,0.052,0,40.2
729,1045,2,1,4,1,0.045,0,47
729,1045,3,1,5,1,0.052,0,54.2
730,1110,0,0,4,1,0.034,0,65.9
730,1110,1,0,4,1,0.242,0,75.8
730,1110,2,0,5,1,0.198,0,87.4
730,1110,3,0,7,1,0.213,0,100.3
731,98,0,0,5,0,0.005,1,60.8
731,106,1,0,3,1,0.108,1,66
731,106,2,0,3,1,0.073,1,63.1
731,106,3,0,6,1,0.056,1,71.1
762,690,0,0,7,1,0.028,0,33
762,690,1,0,7,1,0.497,0,37.1
762,690,2,0,4,1,0.667,0,44.3
762,690,3,0,5,1,0.825,0,57.5
794,963,0,1,3,0,0.155,0,39.4
794,963,1,1,5,0,0.124,0,49.9
794,963,2,1,5,0,0.175,0,52.6
794,963,3,1,6,0,0.218,0,55
801,212,0,0,3,0,0.003,1,65.9
801,208,1,0,3,1,0.007,1,75.8
801,208,2,0,3,1,0.009,1,77.9
801,208,3,0,6,1,0.002,1,83.1
817,1018,0,1,5,1,0.023,0,55
817,1018,1,1,6,1,0.067,0,69.1
817,1018,2,1,4,1,0.05,0,61.8
817,1018,3,1,3,1,0.066,0,68.7
826,101,0,0,6,0,0.004,1,45.5
826,104,1,0,3,1,0.07,1,51.5
826,104,2,0,7,1,0.066,1,54.6
826,104,3,0,3,1,0.042,1,56.7
831,139,0,1,4,1,0.021,0,45.8
831,139,1,1,4,1,0.076,0,51.5
831,139,2,1,5,1,0.07,0,55.1
831,139,3,1,7,1,0.04,0,69.8
860,236,0,1,5,1,0.002,1,52.2
860,236,1,1,6,1,0.002,1,62.7
860,239,2,1,6,1,0.021,1,66.7
860,239,3,1,4,1,0.027,1,79.5
881,99,0,0,5,0,0.003,1,58.6
881,106,1,0,5,1,0.108,1,71.6
881,106,2,0,4,1,0.073,1,70.4
881,106,3,0,5,1,0.056,1,86.2
884,963,0,1,6,0,0.155,0,42.2
884,963,1,1,4,0,0.124,0,45.1
884,963,2,1,5,0,0.175,0,56.7
884,963,3,1,4,0,0.218,0,45
892,245,0,1,8,1,0.009,1,66.4
892,245,1,1,5,1,0.016,1,73.5
892,245,2,1,5,1,0.019,1,89.9
892,245,3,1,5,1,0.047,1,88.7
918,21,0,1,6,0,0.017,1,62.3
918,21,1,1,6,0,0.253,1,50.7
918,21,2,1,6,0,0.264,1,59
918,21,3,1,5,0,0.285,1,71.9
925,52,0,0,4,1,0.003,0,43
925,52,1,0,5,1,0.055,0,54.3
925,52,2,0,3,1,0.076,0,50.3
925,52,3,0,6,1,0.034,0,56.7
940,387,0,1,4,0,0.087,1,30.2
940,387,1,1,5,0,0.242,1,41.8
940,387,2,1,3,0,0.198,1,51.1
940,387,3,1,4,0,0.213,1,58.6
956,1002,0,0,4,1,0.058,0,40.7
956,1002,1,0,6,1,0.204,0,40.2
956,1002,2,0,4,1,0.082,0,38.2
956,1002,3,0,5,1,0.063,0,50.6
981,21,0,1,6,0,0.017,1,49.9
981,21,1,1,4,0,0.253,1,58.3
981,21,2,1,6,0,0.264,1,55.4
981,21,3,1,4,0,0.285,1,64.2
987,1033,0,0,6,1,0.006,1,52.2
987,1033,1,0,8,1,0.086,1,66.6
987,1033,2,0,6,1,0.067,1,61.8
987,1033,3,0,5,1,0.07,1,70.3
